,channel_id,video_id,video_titlepublished_date,type,video_title,published_date
0,UCvShfJtvC2owV0AFi_qyykA,WG3Rzp1AUSs,,youtube#video,Living in Difficult Times,2022-11-20T09:03:51Z
1,UCvShfJtvC2owV0AFi_qyykA,gw2GjssUafs,,youtube#video,Coding and the New Human Phenotype: Is the Universe a Metaverse?,2022-10-17T07:38:07Z
2,UCvShfJtvC2owV0AFi_qyykA,LwIvfQBE9bk,,youtube#video,Coding and the New Human Phenotype: Are Natural Language Generators for Real?,2022-10-17T04:43:35Z
3,UCvShfJtvC2owV0AFi_qyykA,khY3pjDzqLs,,youtube#video,"Coding and the Human Phenotype: Coding, Fiction, Metafiction – the Parcellation of What Isn’t There",2022-10-16T09:47:21Z
4,UCvShfJtvC2owV0AFi_qyykA,vCHvPQt-ABc,,youtube#video,"Coding and the Human Phenotype: Manipulated Perception?: Fakery, Authenticity, and the Birth of NFTs",2022-10-16T07:26:11Z
5,UCvShfJtvC2owV0AFi_qyykA,gFVql_pcUe0,,youtube#video,Coding and the New Phenotype: In Search for Lost Time,2022-10-16T04:01:09Z
6,UCvShfJtvC2owV0AFi_qyykA,DjvndGUlncw,,youtube#video,Metaphysics,2022-05-01T08:42:36Z
7,UCvShfJtvC2owV0AFi_qyykA,B2KkHTxrHGM,,youtube#video,Psychedelics,2022-03-13T09:38:38Z
8,UCvShfJtvC2owV0AFi_qyykA,78cAeP1bmVA,,youtube#video,People &amp; Things in Motion: Economics and the Future,2022-02-27T09:30:36Z
9,UCvShfJtvC2owV0AFi_qyykA,TXuUdV2UL_0,,youtube#video,Designer Genes,2021-12-05T09:37:18Z
10,UCvShfJtvC2owV0AFi_qyykA,1f3cZvGW_oE,,youtube#video,Stress,2021-05-02T08:25:07Z
11,UCvShfJtvC2owV0AFi_qyykA,qcM7Ux97S2Q,,youtube#video,Panacea or Poison: Placebos and Nocebos in Modern Medicine,2021-03-21T08:23:25Z
12,UCvShfJtvC2owV0AFi_qyykA,vS5PyZcuLUk,,youtube#video,Populism,2021-02-21T06:59:54Z
13,UCvShfJtvC2owV0AFi_qyykA,6fRqcNGVSWc,,youtube#video,The Many Minds of Memory,2021-01-31T09:14:54Z
14,UCvShfJtvC2owV0AFi_qyykA,OVa-B5uXopE,,youtube#video,Ethics &amp; AI,2020-09-26T21:08:51Z
15,UCvShfJtvC2owV0AFi_qyykA,CUTTvShm_dQ,,youtube#video,"How Deep Do We Go? Behavior, Mind, and The 4-Billion-Year History of Life",2020-02-29T21:38:06Z
16,UCvShfJtvC2owV0AFi_qyykA,FfyLwiHhdoI,,youtube#video,Mathematics and Other Realities,2019-12-07T21:36:27Z
17,UCvShfJtvC2owV0AFi_qyykA,l1dMvQftz_g,,youtube#video,Emergence of Empathy: Encountering The Other Through Fiction,2019-11-16T21:57:57Z
18,UCvShfJtvC2owV0AFi_qyykA,KNWPmhc2sh8,,youtube#video,Mechanization of Math,2019-10-05T20:47:17Z
19,UCvShfJtvC2owV0AFi_qyykA,GNfc4HGXY24,,youtube#video,Lying,2019-09-21T20:44:25Z
20,UCvShfJtvC2owV0AFi_qyykA,4v04G8kooJo,,youtube#video,Status,2019-06-16T01:16:08Z
21,UCvShfJtvC2owV0AFi_qyykA,NCPk3iURUsA,,youtube#video,Shame,2019-05-22T21:48:28Z
22,UCvShfJtvC2owV0AFi_qyykA,4ylFYWbQqRA,,youtube#video,Living in the Anthropocene,2019-04-28T21:33:54Z
23,UCvShfJtvC2owV0AFi_qyykA,R_UJNb9mVj4,,youtube#video,Life in the Universe,2019-03-09T21:21:23Z
